CASES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Number,,,,Likely source,,,,,,,,
,Introduced,Community,Total,,Overseas,ACT,NSW,VIC,SA,TAS,WA,NT,Community
,,,,,,,,,,,,,
7-Mar,0,0,0,,,,,,,,,,
6-Mar,0,1,1,,,,,,,,,,1
5-Mar,2,0,2,,2,,,,,,,,
4-Mar,1,0,1,,1,,,,,,,,
3-Mar,1,0,1,,1,,,,,,,,
2-Mar,0,0,0,,,,,,,,,,
1-Mar,0,0,0,,,,,,,,,,
29-Feb,0,0,0,,,,,,,,,,
28-Feb,0,0,0,,,,,,,,,,
27-Feb,0,0,0,,,,,,,,,,
26-Feb,0,0,0,,,,,,,,,,
25-Feb,0,1,1,,,,,,,,,,1
24-Feb,0,0,0,,,,,,,,,,
23-Feb,0,0,0,,,,,,,,,,
22-Feb,2,0,2,,2,,,,,,,,
21-Feb,2,0,2,,2,,,,,,,,
20-Feb,0,0,0,,,,,,,,,,
19-Feb,0,0,0,,,,,,,,,,
18-Feb,0,0,0,,,,,,,,,,
17-Feb,0,0,0,,,,,,,,,,
16-Feb,0,0,0,,,,,,,,,,
15-Feb,0,0,0,,,,,,,,,,
14-Feb,0,0,0,,,,,,,,,,
13-Feb,0,0,0,,,,,,,,,,
12-Feb,0,0,0,,,,,,,,,,
11-Feb,0,0,0,,,,,,,,,,
10-Feb,0,0,0,,,,,,,,,,
9-Feb,0,0,0,,,,,,,,,,
8-Feb,0,0,0,,,,,,,,,,
7-Feb,0,0,0,,,,,,,,,,
6-Feb,1,0,1,,1,,,,,,,,
5-Feb,1,0,1,,1,,,,,,,,
4-Feb,1,0,1,,1,,,,,,,,
3-Feb,0,0,0,,,,,,,,,,
2-Feb,0,0,0,,,,,,,,,,
1-Feb,0,0,0,,,,,,,,,,
31-Jan,0,0,0,,,,,,,,,,
30-Jan,1,0,1,,1,,,,,,,,
29-Jan,0,0,0,,,,,,,,,,
28-Jan,1,0,1,,1,,,,,,,,
