dsct,dsct_day,dsct_day_av,dsct_day_md,dsct_day_sd,outbreak_prob,control_prob,contained_prob,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,sct,sct_day,sct_day_av,sct_day_md,sct_day_sd,resurgence_prob,sct_control_prob,sct_contained_prob
True,34,35.1569416498994,34,7.38612524803729,99.4000000000001,0.6,0,22,20.397,20,5.47753512083674,7,7.169,5,6.1796795224348,0.1,0,0.4,6260,distributed,0.028231366,True,20,22.075,21,7.32266174283641,100,0,0
True,30,30.7525150905433,30,6.64621332955885,99.4000000000001,0.6,0,17,16.089,16,4.52493966810609,6,6.988,6,5.67396298895225,0.1,0,0.45,6260,distributed,0.028231366,True,17,17.64,17,6.85393317738071,100,0,0
True,30,30.7111334002006,30,6.34346317040152,99.7000000000001,0.3,0,18,16.192,16,4.24395287438492,7,7.281,6,5.84739591613224,0.1,0,0.5,6260,distributed,0.028231366,True,16,17.296,17,5.9920267022102,100,0,0
True,28,28.6556556556557,28,5.97555460173731,99.9000000000001,0.1,0,16,14.342,14,4.37207456478043,7,6.88,5,5.59228039354251,0.1,0,0.55,6260,distributed,0.028231366,True,15,15.6,15,5.90846849868898,100,0,0
True,30,30.2772772772773,30,5.64854851218334,99.9000000000001,0.1,0,17,16.623,16,3.83782112662902,6,7.876,6,6.15699796979015,0.1,0,0.6,6260,distributed,0.028231366,True,17,16.991,16,5.38190663241198,100,0,0
True,29,30.5445445445446,29,6.44339080398051,99.9000000000001,0.1,0,17,15.655,15,4.18712013202392,6,7.091,6,5.85463226855453,0.1,0,0.65,6260,distributed,0.028231366,True,17,17.221,16,6.19904500709585,100,0,0
True,27,28.362,28,6.10204523090414,100,0,0,15,14.044,14,3.68239921790129,6,7.515,6,5.9074338760582,0.1,0,0.7,6260,distributed,0.028231366,True,13,15.052,14,5.72339899011068,100,0,0
True,29,29.204,29,4.63922234862698,100,0,0,16,15.52,15,2.68804761862583,6,7.405,6,5.56389926220811,0.1,0,0.75,6260,distributed,0.028231366,True,15,15.932,16,4.36753660545621,100,0,0
True,24,24.691,24,4.47476468655057,100,0,0,13,11.721,12,2.97811332893831,9,8.41,7,6.16846009957104,0.1,0,0.8,6260,distributed,0.028231366,True,13,11.3537074148297,12,4.08454505412334,99.8000000000001,0.2,0
True,23,23.885,23,4.29112747421933,100,0,0,12,10.972,11,2.70799113735625,8,8.334,7,6.28796024160458,0.1,0,0.85,6260,distributed,0.028231366,True,11,10.765,10,3.81782333273817,100,0,0
True,29,29.3943943943944,29,6.02169988276456,99.9000000000001,0.1,0,17,15.596,16,4.28541526575897,7,7.797,6,5.99047502290094,0.1,0,0.9,6260,distributed,0.028231366,True,14,16.206,15,5.76260045465587,100,0,0
True,27,27.564,27,5.13048769611623,100,0,0,16,14.218,14,3.27024096971462,8,8.142,7,6.05126730528408,0.1,0,0.95,6260,distributed,0.028231366,True,15,14.243,14,4.61323649946542,100,0,0
True,25,25.406,25,4.84532393137961,100,0,0,13,12.201,12,3.18474473074374,6,8.148,7,6.05277589210108,0.1,0,1,6260,distributed,0.028231366,True,12,12.376,11,4.49940262701617,100,0,0
True,26,26.275,26,5.20705050868532,100,0,0,13,12.272,12,3.69783936914518,7,7.295,6,5.80344509752612,0.1,0,1.05,6260,distributed,0.028231366,True,14,13.2464929859719,13,4.7535834732468,99.8000000000001,0.2,0
True,27,27.2,27,5.00899191454728,100,0,0,15,13.827,14,3.4282752223239,7,7.967,6,6.07831481580216,0.1,0,1.1,6260,distributed,0.028231366,True,14,14.127,13,4.48629813989218,100,0,0
True,26,26.455,26,4.74973420308968,100,0,0,15,12.938,13,3.66116866587706,8,7.522,6,5.92600337495685,0.1,0,1.15,6260,distributed,0.028231366,True,13,13.3837675350701,13,4.43343294631226,99.8000000000001,0.2,0
False,,53.0243902439024,54,2.63408988196042,16.4,81.1000000000001,2.5,55,48.1049382716049,48,4.95486794518424,7,7.35185185185185,6,6.64345238062317,0.2,0,0.05,6260,distributed,0.028231366,True,54,48.7888283378747,50,5.53934015591232,73.4000000000001,25.9,0.7
False,,49.1188524590164,50,4.98010520606518,24.4,73.8000000000001,1.8,,43.4933078393882,43,8.64563977656672,,7.23135755258126,5,7.082551437747,0.2,0,0.1,6260,distributed,0.028231366,True,57,45.8616852146264,48,8.676757196271,62.9,36,1.1
True,49,43.9338842975207,44,8.02551256022826,72.6000000000001,27.2,0.2,37,33.3179433368311,33,10.282201901248,7,6.6894018887723,5,5.87023571275211,0.2,0,0.1428,6260,distributed,0.028231366,True,37,35.0492505353319,35,11.0392396509966,93.4000000000001,6.5,0.1
True,49,43.3148404993065,44,8.14990714161828,72.1000000000001,27.7,0.2,36,31.5723830734967,31,9.2764876942915,6,6.78730512249443,5,6.25714516102536,0.2,0,0.15,6260,distributed,0.028231366,True,35,33.9099099099099,34,10.7549900838446,88.8000000000001,11.2,0
True,38,37.6281464530892,36,9.57889960365988,87.4000000000001,12.5,0.1,26,25.0516717325228,21,11.0114780652279,6,6.98277608915907,6,5.89838876849876,0.2,0,0.167,6260,distributed,0.028231366,True,26,27.2393075356416,25,12.2100907623478,98.2000000000001,1.8,0
True,46,40.895251396648,41,8.71067731226887,71.6000000000001,28.2,0.2,33,28.0240384615385,27,9.15081433106353,6,6.69350961538462,5,5.97961731714689,0.2,0,0.2,6260,distributed,0.028231366,True,33,30.1557478368356,29,10.8830379000508,80.9000000000001,19,0.1
