outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,iq_factor,iq_compliance,cluster_size,poisson_lambda,num_tests,label,beta,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,6,5.963,6,0.790968393805972,100,0,0,0.7,0.3,49,0,10460,cluster,0.0192,2,2.444,2,0.595704624793194,5,9.199,8,6.62958513030793,True,3,2.51776649746193,2,0.53690132405404,98.5000000000001,1.5,0
True,6,5.947,6,0.783703387768612,100,0,0,0.7,0.3,50,0,10460,cluster,0.0192,2,2.448,2,0.601079029745673,5,9.235,8,6.56031820874567,True,3,2.5147507629705,2,0.555684682957684,98.3000000000001,1.7,0
False,,39.4493150684931,40,9.1505389209908,36.5,63.4000000000001,0.1,0.8,0.2,1,0,10460,cluster,0.0192,,19.3870333988212,17,9.44144964274281,,2.82907662082515,2,2.78859932237848,False,,29.3280182232346,28,12.3235394672937,43.9,56,0.1
True,49,37.2525773195876,37,9.71234654900699,58.2,41.7,0.1,0.8,0.2,2,0,10460,cluster,0.0192,27,15.0233128834356,13,8.70022614861667,2,2.85153374233129,2,3.12186737864424,True,36,26.4674556213018,24.5,12.4292247245734,67.6000000000001,32.4,0
True,40,35.1506105834464,35,10.1956626200652,73.7000000000001,26.3,0,0.8,0.2,3,0,10460,cluster,0.0192,16,11.0041972717733,9,6.05934131901029,2,2.75760755508919,2,2.83380273269573,True,26,23.4574209245742,21,12.5668049260383,82.2000000000001,17.8,0
True,35,33.1354292623942,32,10.0387900581421,82.7000000000001,17.3,0,0.8,0.2,4,0,10460,cluster,0.0192,11,8.68186423505573,8,4.58336109817224,2,3.02026342451874,2,2.89981216096929,True,21,21.624584717608,19,12.5696171775568,90.3000000000001,9.70000000000001,0
True,31,31.2035794183445,30,9.87703755468552,89.4000000000001,10.6,0,0.8,0.2,5,0,10460,cluster,0.0192,8,7.18937875751503,7,3.27821610277031,3,3.1753507014028,3,2.83060740899586,True,17,18.7381203801478,16,11.6410161260051,94.7000000000001,5.3,0
True,28,29.0408163265306,27,9.60008329826418,93.1000000000001,6.90000000000001,0,0.8,0.2,6,0,10460,cluster,0.0192,6,6.26526526526526,6,2.25738798287089,3,3.58058058058058,3,2.95397854638719,True,14,16.1724845995893,13,10.9752859662205,97.4000000000001,2.6,0
True,26,27.3118503118503,25,8.96739560265038,96.2000000000001,3.8,0,0.8,0.2,7,0,10460,cluster,0.0192,6,5.62562562562562,5,1.82738154398343,4,3.90890890890891,3,3.13760342713618,True,12,13.8950554994955,12,9.55081400749694,99.1000000000001,0.9,0
True,25,25.9825102880658,24,8.65494831434413,97.2000000000001,2.8,0,0.8,0.2,8,0,10460,cluster,0.0192,5,5.249,5,1.59153982042549,4,4.185,4,3.01708054251125,True,10,12.4994964753273,10,9.04549593584093,99.3000000000001,0.7,0
