outbreak,outbreak_day,outbreak_day_av,outbreak_day_md,outbreak_day_sd,outbreak_prob,control_prob,contained_prob,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,resurgence,resurgence_day,resurgence_day_av,resurgence_day_md,resurgence_day_sd,resurgence_prob,resurgence_control_prob,resurgence_contained_prob
True,12,12.889,13,2.65191987058433,100,0,0,4,3.958,4,1.00211576177605,10,10.417,10,5.94769795803385,0.2,17,0,8360,cluster,0.028231366,True,4,3.43417085427136,3,1.20819571069071,99.5000000000001,0.5,0
True,12,12.605,12,2.69906928403107,100,0,0,4,3.879,4,0.957266420595646,11,10.802,10,6.2352863607055,0.2,18,0,8360,cluster,0.028231366,True,4,3.37462235649547,3,1.20448995669292,99.3000000000001,0.7,0
True,12,12.312,12,2.49532683230073,100,0,0,4,3.773,4,0.916226500380774,11,10.678,10,6.28858616860738,0.2,19,0,8360,cluster,0.028231366,True,4,3.26693629929221,3,1.02916461012263,98.9000000000001,1.1,0
True,11,11.801,11,2.40736349561091,100,0,0,4,3.685,4,0.888692860329147,12,11.089,10,6.39242356231187,0.2,20,0,8360,cluster,0.028231366,True,4,3.16060606060606,3,0.936069385952134,99.0000000000001,1,0
True,47,33.1949910554562,32,9.42836146714779,55.9,44,0.1,32,17.8848684210526,16,7.76314047165752,5,5.61677631578947,4,5.37594986735192,0.3,1,0,8360,cluster,0.028231366,True,33,21.8232235701906,20,10.4697276580743,57.7,42.2,0.1
True,32,30.4019851116625,29,9.19513821423771,80.6000000000001,19.4,0,17,14.0547945205479,12,6.74328431888103,4,5.46803652968037,4,5.28050012147639,0.3,2,0,8360,cluster,0.028231366,True,19,18.9144578313253,17,10.2745988404686,83.0000000000001,17,0
True,27,27.9659714599341,26,8.65067557086358,91.1000000000001,8.90000000000001,0,12,11.0237358101135,10,5.28276341947057,4,5.16511867905057,4,4.89134584767849,0.3,3,0,8360,cluster,0.028231366,True,15,16.2188841201717,14,9.66584112179184,93.2000000000001,6.8,0
True,24,25.8550724637681,24,8.09107770648051,96.6000000000001,3.4,0,10,8.56338028169014,8,3.72609848255028,4,5.06941649899396,4,4.45751352465749,0.3,4,0,8360,cluster,0.028231366,True,12,14.097037793667,12,8.72457821181384,97.9000000000001,2.1,0
True,22,23.8617886178862,22,7.39556030656235,98.4000000000001,1.6,0,8,7.369,7,2.81368779362601,4,5.502,4,4.57449407038636,0.3,5,0,8360,cluster,0.028231366,True,10,11.3680485338726,10,7.24412040335273,98.9000000000001,1.1,0
True,21,21.9515640766902,21,6.55979829404903,99.1000000000001,0.9,0,7,6.702,6,2.31758408693191,5,6.031,5,4.69191208357531,0.3,6,0,8360,cluster,0.028231366,True,8,9.66465256797583,8,6.31095287484031,99.3000000000001,0.7,0
True,19,20.719,19,6.19806736007282,100,0,0,6,6.077,6,1.88124187705888,5,6.417,5,4.73192466127685,0.3,7,0,8360,cluster,0.028231366,True,6,8.48244734202608,7,5.62707158585908,99.7000000000001,0.2,0.1
True,18,19.2715430861723,18,5.11740045320319,99.8000000000001,0.2,0,6,5.625,5,1.68177733365627,6,6.889,6,4.9522397962942,0.3,8,0,8360,cluster,0.028231366,True,6,7.11480362537764,6,4.43424742638202,99.3000000000001,0.6,0.1
True,18,18.4124124124124,18,4.70172226725106,99.9000000000001,0.1,0,5,5.326,5,1.54263540734679,6,7.223,7,4.87824466381095,0.3,9,0,8360,cluster,0.028231366,True,5,6.30260521042084,5,3.8009877983149,99.8000000000001,0.2,0
True,16,17.424,17,4.39547767597562,100,0,0,5,4.996,5,1.42617810949404,7,7.658,7,5.17735801350457,0.3,10,0,8360,cluster,0.028231366,True,5,5.79899497487437,5,3.47392281051869,99.5000000000001,0.5,0
True,16,16.664,16,3.86174882663282,100,0,0,5,4.796,5,1.32075130134329,8,7.931,7,4.94330243865374,0.3,11,0,8360,cluster,0.028231366,True,5,5.11368209255533,4,2.62018052804353,99.4000000000001,0.5,0.1
True,15,15.911,15,3.6749257135349,100,0,0,4,4.565,4,1.25370451064037,7,8.253,7,5.41082165664329,0.3,12,0,8360,cluster,0.028231366,True,5,4.69138276553106,4,2.35585355736537,99.8000000000001,0.2,0
True,15,15.084,15,3.26480382259026,100,0,0,4,4.497,4,1.16961147395193,7,9,8,5.19653730863159,0.3,13,0,8360,cluster,0.028231366,True,4,4.29547738693467,4,1.9197805696012,99.5000000000001,0.4,0.1
True,14,14.637,14,3.14153322439856,100,0,0,4,4.297,4,1.11300988315468,8,9.022,8,5.53276748110744,0.3,14,0,8360,cluster,0.028231366,True,4,4.06806806806807,4,1.88173119325132,99.9000000000001,0.1,0
True,13,14.052,14,3.04060783397004,100,0,0,4,4.196,4,1.08147306947515,8,9.587,8,5.72122635455022,0.3,15,0,8360,cluster,0.028231366,True,4,3.79919678714859,3,1.67662866854844,99.6000000000001,0.4,0
True,13,13.46,13,2.77279642238661,100,0,0,4,4.054,4,1.04837207135635,9,9.898,9,5.78701961289229,0.3,16,0,8360,cluster,0.028231366,True,4,3.6308926780341,3,1.41498234286099,99.7000000000001,0.3,0
True,12,12.922,13,2.68065588988964,100,0,0,4,3.958,4,1.00211576177605,10,10.425,10,5.94561813439108,0.3,17,0,8360,cluster,0.028231366,True,4,3.42914572864322,3,1.20039975496831,99.5000000000001,0.5,0
True,12,12.563,12,2.68216908490125,100,0,0,4,3.878,4,0.954523965126073,11,10.805,10,6.23465917272147,0.3,18,0,8360,cluster,0.028231366,True,4,3.3705941591138,3,1.19903508933825,99.3000000000001,0.7,0
True,12,12.302,12,2.52245832473006,100,0,0,4,3.772,4,0.914339105583918,11,10.69,10,6.28521280467098,0.3,19,0,8360,cluster,0.028231366,True,4,3.26895854398382,3,1.04424709685616,98.9000000000001,1.1,0
True,11,11.799,11,2.38423971110289,100,0,0,4,3.685,4,0.888692860329147,12,11.094,10,6.39930965026697,0.3,20,0,8360,cluster,0.028231366,True,4,3.16363636363636,3,0.946813320421819,99.0000000000001,1,0
True,45,33.1280701754386,32,9.3675111260585,57,43,0,32,17.797385620915,16,7.52586778886525,5,5.5343137254902,4,5.17634757355318,0.4,1,0,8360,cluster,0.028231366,True,33,21.6147260273973,20,10.2036047682868,58.4,41.6,0
True,32,30.0947109471095,29,8.86746109350708,81.3000000000001,18.7,0,17,14.2131519274376,12,7.0076025638924,4,5.51360544217687,4,5.25304541135494,0.4,2,0,8360,cluster,0.028231366,True,19,18.9905325443787,17,10.4484037602169,84.5000000000001,15.5,0
True,26,27.8521739130435,26,8.68981760779309,92.0000000000001,8.00000000000001,0,12,11.0566426364573,10,5.42981476840142,4,5.19361483007209,4,4.95329373839804,0.4,3,0,8360,cluster,0.028231366,True,14,16.2672322375398,14,9.80859544039839,94.3000000000001,5.7,0
True,24,25.765737874097,24,8.07535603712533,96.9000000000001,3.1,0,10,8.57042253521127,8,3.80558342620657,4,5.10764587525151,4,4.52129789988952,0.4,4,0,8360,cluster,0.028231366,True,12,13.9826883910387,12,8.5704642307757,98.2000000000001,1.8,0
True,22,23.6227180527383,22,7.09166661733178,98.6000000000001,1.4,0,8,7.361,7,2.76670905590017,4.5,5.509,4,4.56091207983666,0.4,5,0,8360,cluster,0.028231366,True,10,11.2727272727273,10,6.9401746285749,99.0000000000001,1,0
True,21,21.7457114026236,21,6.27344597434282,99.1000000000001,0.9,0,7,6.699,6,2.31870632034331,5,6.056,5,4.72364943661149,0.4,6,0,8360,cluster,0.028231366,True,8,9.59718026183283,8,6.20616528279377,99.3000000000001,0.7,0
True,19,20.4092276830491,19,5.62404879779291,99.7000000000001,0.3,0,6,6.073,6,1.87661157408772,5,6.437,5,4.74763425297274,0.4,7,0,8360,cluster,0.028231366,True,6,8.40261044176707,7,5.42561539574467,99.6000000000001,0.3,0.1
True,18,19.1661661661662,18,5.001542946758,99.9000000000001,0.1,0,6,5.628,5,1.68926492889659,6,6.902,6,4.96209592813359,0.4,8,0,8360,cluster,0.028231366,True,6,7.08148893360161,6,4.31510372031551,99.4000000000001,0.5,0.1
True,17,18.365,18,4.67565770774551,100,0,0,5,5.328,5,1.54350769353444,6,7.237,7,4.87819956541345,0.4,9,0,8360,cluster,0.028231366,True,5,6.31663326653307,5,3.95439228256687,99.8000000000001,0.2,0
True,16,17.347,17,4.34287819308808,100,0,0,5,4.996,5,1.42617810949404,7,7.648,7,5.17204949705627,0.4,10,0,8360,cluster,0.028231366,True,5,5.77085427135678,5,3.40879070112698,99.5000000000001,0.5,0
True,16,16.553,16,3.7615410405843,100,0,0,5,4.797,5,1.32204046836699,8,7.94,7,4.93562559357981,0.4,11,0,8360,cluster,0.028231366,True,5,5.09456740442656,4,2.57466191329865,99.4000000000001,0.5,0.1
True,15,15.851,15,3.56129176002192,100,0,0,4,4.568,4,1.25513983284732,7,8.266,7,5.42468837814671,0.4,12,0,8360,cluster,0.028231366,True,5,4.63326653306613,4,2.22883623737777,99.8000000000001,0.2,0
True,15,14.988,15,3.19810193708706,100,0,0,4,4.499,4,1.1755845354546,7,9.002,8,5.17629172284561,0.4,13,0,8360,cluster,0.028231366,True,4,4.28341708542714,4,1.88409806259038,99.5000000000001,0.4,0.1
True,14,14.644,14,3.10310554122801,100,0,0,4,4.299,4,1.11427061345079,8,9.032,8,5.54084614476887,0.4,14,0,8360,cluster,0.028231366,True,4,4.06506506506507,4,1.90378443263325,99.9000000000001,0.1,0
True,13,13.986,14,2.89202420460134,100,0,0,4,4.198,4,1.08480228613328,8,9.573,8,5.69883066953213,0.4,15,0,8360,cluster,0.028231366,True,4,3.78112449799197,3,1.55884738226905,99.6000000000001,0.4,0
True,13,13.385,13,2.71012453588391,100,0,0,4,4.053,4,1.04603585024606,9,9.898,9,5.787537991236,0.4,16,0,8360,cluster,0.028231366,True,4,3.62688064192578,3,1.40681804432054,99.7000000000001,0.3,0
True,12,12.857,13,2.59201678235308,100,0,0,4,3.958,4,1.00211576177605,10,10.429,10,5.95071079787953,0.4,17,0,8360,cluster,0.028231366,True,4,3.42311557788945,3,1.18739965107177,99.5000000000001,0.5,0
True,12,12.558,12,2.65981879082016,100,0,0,4,3.877,4,0.953871584648584,11,10.819,10,6.24005120171301,0.4,18,0,8360,cluster,0.028231366,True,4,3.36757301107754,3,1.19365385165874,99.3000000000001,0.7,0
True,12,12.216,12,2.34975402968055,100,0,0,4,3.771,4,0.914635993168867,11,10.688,10,6.28861320165265,0.4,19,0,8360,cluster,0.028231366,True,4,3.26794742163802,3,1.04402287071029,98.9000000000001,1.1,0
True,11,11.762,11,2.39694722511782,100,0,0,4,3.684,4,0.887774746205365,12,11.098,10,6.40299898485077,0.4,20,0,8360,cluster,0.028231366,True,4,3.16262626262626,3,0.94645386624306,99.0000000000001,1,0
True,46,32.98606271777,32,9.32064215663783,57.4,42.6,0,31,17.8206785137318,16,7.52841631455174,5,5.58158319870759,4,5.39170517841635,0.5,1,0,8360,cluster,0.028231366,True,32,21.7969798657718,20,10.6058451153283,59.6000000000001,40.4,0
True,31,30.0110159118727,29,8.90497233350316,81.7000000000001,18.3,0,17,14.2205882352941,12,7.03417524472033,4,5.4920814479638,4,5.30782575256673,0.5,2,0,8360,cluster,0.028231366,True,19,18.7874852420307,16,10.4133999669079,84.7000000000001,15.3,0
True,26,27.7127429805616,26,8.67617512054004,92.6000000000001,7.40000000000001,0,12,11.1099691675231,10,5.51958423921283,4,5.23638232271326,4,4.93947249782908,0.5,3,0,8360,cluster,0.028231366,True,14,16.0749736008448,13,9.65966132374643,94.7000000000001,5.3,0
True,24,25.7407407407407,24,8.06548983015132,97.2000000000001,2.8,0,10,8.59136546184739,8,4.00986305875547,4,5.06526104417671,4,4.46705454829896,0.5,4,0,8360,cluster,0.028231366,True,12,13.8810975609756,12,8.54359268874238,98.4000000000001,1.6,0
True,22,23.5475708502024,22,7.11777470641605,98.8000000000001,1.2,0,8,7.361,7,2.73837159640543,5,5.551,4,4.57071099502036,0.5,5,0,8360,cluster,0.028231366,True,9,11.3632694248234,10,7.08370189234129,99.1000000000001,0.9,0
