dsct,dsct_day,dsct_day_av,dsct_day_md,dsct_day_sd,dsct_prob,first_case_day,first_case_day_av,first_case_day_md,first_case_day_sd,first_case_inf,first_case_inf_av,first_case_inf_md,first_case_inf_sd,sct,sct_day,sct_day_av,sct_day_md,sct_day_sd,sct_prob,sct_control_prob,sct_contained_prob,iq_factor,cluster_size,poisson_lambda,num_tests,label,beta,vax_proportion,vax_efficacy,vevp
True,19,19.534,19,4.75340341229313,0,5,5.207,5,1.42973808790282,7,7.686,7,3.94144130433977,True,5,5.46446446446446,4,3.10324324007893,99.9000000000001,0.1,0,0.1,12,0,6260,cluster,0.028231366,0.2,0.9,1.1
True,18,18.933,18,4.6703866007002,0,5,4.937,5,1.37805333713902,7.66666666666667,7.90233333333333,7.33333333333333,4.22977739104291,True,5,5.18436873747495,4,3.10247108059309,99.8000000000001,0.2,0,0.1,13,0,6260,cluster,0.028231366,0.2,0.9,1.1
True,17,18.042,17,4.40207178496671,0,5,4.849,5,1.29545320255114,8.33333333333333,8.21333333333333,7.66666666666667,4.0648137855394,True,5,4.69238476953908,4,2.54430916803237,99.8000000000001,0.2,0,0.1,14,0,6260,cluster,0.028231366,0.2,0.9,1.1
True,17,17.206,17,4.09628661106617,0,5,4.685,5,1.20738353475604,9,8.53233333333333,8,4.08966979107116,True,5,4.34002006018054,4,2.25143066063731,99.7000000000001,0.3,0,0.1,15,0,6260,cluster,0.028231366,0.2,0.9,1.1
True,16,16.496,16,3.66032566857104,0,4,4.582,4,1.20136422453809,7.66666666666667,9.354,8.66666666666667,4.64370728333875,True,4,4.15555555555556,4,1.96279651158837,99.0000000000001,1,0,0.1,16,0,6260,cluster,0.028231366,0.2,0.9,1.1
True,15,15.874,15,3.60861801802297,0,4,4.402,4,1.17319904534567,8,9.40633333333333,8.66666666666667,4.84177468611573,True,4,3.90283400809717,4,1.49718766885335,98.8000000000001,1.2,0,0.1,17,0,6260,cluster,0.028231366,0.2,0.9,1.1
True,15,15.509,15,3.66795842397375,0,4,4.342,4,1.1068134440817,8.66666666666667,9.79433333333333,9,4.87267107903298,True,4,3.74219536757301,3,1.55334872450397,99.3000000000001,0.7,0,0.1,18,0,6260,cluster,0.028231366,0.2,0.9,1.1
True,14,14.97,14,3.30591893427531,0,4,4.271,4,1.14085888697945,9,10.2466666666667,9.33333333333333,5.11429804024408,True,4,3.62197580645161,3,1.41108833519991,99.2000000000001,0.8,0,0.1,19,0,6260,cluster,0.028231366,0.2,0.9,1.1
True,14,14.526,14,3.1233514051416,0,4,4.135,4,1.06619651096784,9.66666666666667,10.299,9.66666666666667,4.93961751780664,True,4,3.43504531722054,3,1.0910514081321,99.3000000000001,0.7,0,0.1,20,0,6260,cluster,0.028231366,0.2,0.9,1.1
False,,40.0249307479224,40,8.9062173843724,0.1,,23.2094017094017,21,10.1351422382252,,6.29843304843305,5,5.11709677512663,False,,26.3766816143498,24,12.0537582744921,44.6,55.4,0,0.1,1,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,50,39.5108877721943,40,9.11633165790674,0.1,33,19.3016304347826,17,9.99884762677288,6.33333333333333,5.2151268115942,4.33333333333333,4.3116522182417,True,32,24.9055793991416,23,12.1751504848237,69.9,30.1,0,0.1,2,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,41,37.0261780104712,36,9.18480110052855,0,23,15.4332603938731,13,8.38034775760063,6.16666666666667,4.94201312910285,3.66666666666667,4.33057394417239,True,23,21.8127167630058,19,11.8734979635689,86.5000000000001,13.5,0,0.1,3,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,37,35.6883886255924,35,9.08262795554392,0,18,11.6237006237006,10,6.23448424408882,5,4.66943866943867,3.33333333333333,4.1895481699489,True,19,19.421568627451,18,11.1476451464267,91.8000000000001,8.20000000000001,0,0.1,4,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,34,33.9233296823658,33,8.9558141992376,0,15,9.99798387096774,9,5.21184251362574,5.33333333333333,4.64717741935484,3.66666666666667,3.57689796084342,True,15,17.1049896049896,15,10.5941181289056,96.2000000000001,3.8,0,0.1,5,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,31,31.9704016913319,31,8.55174346721944,0,10,8.25175526579739,8,3.57409174808875,4.33333333333333,4.73186225342695,4,3.40335777617515,True,13,14.4209445585216,12,9.40582919933756,97.4000000000001,2.6,0,0.1,6,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,29,30.5181347150259,29,7.96865183483087,0,8,7.481,7,2.91369850876854,4.33333333333333,5.06766666666667,4.33333333333333,3.5481730979947,True,11,12.7618567103935,11,8.8220322180184,99.1000000000001,0.9,0,0.1,7,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,28,29.5076452599388,28,8.36691659047451,0,7,6.77877877877878,6,2.36044101639969,4.66666666666667,5.37037037037037,4.66666666666667,3.6356204772739,True,9,11.3671013039117,9,7.87130951387111,99.7000000000001,0.3,0,0.1,8,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,27,28.3794506612411,27,7.82875369639491,0,6,6.262,6,2.02616781141148,4.66666666666667,5.38433333333333,4.66666666666667,3.3589613308614,True,7,9.87386478304743,8,6.87316496731251,99.1000000000001,0.9,0,0.1,9,0,6260,cluster,0.028231366,0.5,0.7,1.2
True,26,26.9949545913219,26,7.44078370416356,0,6,5.887,6,1.88844671621944,5.33333333333333,5.88033333333333,5,3.49250179352535,True,6,8.69809428284855,7,6.14160274129098,99.7000000000001,0.3,0,0.1,10,0,6260,cluster,0.028231366,0.5,0.7,1.2
