location,date,new_diagnoses,new_diagnoses_all,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-04-10,1,1,1794,73305,231,1050,5,0,55
QLD,2020-04-11,2,2,1789,75094,233,1052,5,0,56
QLD,2020-04-12,0,0,1805,76899,233,1052,5,0,57
QLD,2020-04-13,0,3,1949,78848,233,1055,5,0,58
QLD,2020-04-14,1,2,1991,80839,234,1057,5,0,59
QLD,2020-04-15,2,2,1971,82810,236,1059,5,0,60
QLD,2020-04-16,0,0,1916,84726,236,1059,5,0,61
QLD,2020-04-17,1,1,1876,86602,237,1060,5,0,62
QLD,2020-04-18,0,0,1897,88499,237,1060,5,0,63
QLD,2020-04-19,0,0,1901,90400,237,1060,5,0,64
QLD,2020-04-20,1,1,2069,92469,238,1061,5,0,65
QLD,2020-04-21,0,0,2227,94696,238,1061,5,0,66
QLD,2020-04-22,0,0,2252,96948,238,1061,5,0,67
QLD,2020-04-23,0,1,2277,99225,238,1062,5,0,68
QLD,2020-04-24,0,0,2271,101496,238,1062,5,0,69
QLD,2020-04-25,0,0,2153,103649,238,1062,5,0,70
QLD,2020-04-26,0,1,2131,105780,238,1063,5,0,71
QLD,2020-04-27,0,0,2161,107941,238,1063,5,0,72
QLD,2020-04-28,0,1,2325,110266,238,1064,5,0,73
QLD,2020-04-29,1,1,2480,112746,239,1065,5,0,74
QLD,2020-04-30,0,1,2566,115312,239,1066,5,0,75
QLD,2020-05-01,0,0,2650,117962,239,1066,5,0,76
QLD,2020-05-02,1,3,2606,120568,240,1069,5,0,77
QLD,2020-05-03,0,0,2587,123155,240,1069,5,0,78
QLD,2020-05-04,0,0,2767,125922,240,1069,5,0,79
QLD,2020-05-05,0,1,2773,128695,240,1070,5,0,80
QLD,2020-05-06,0,0,2797,131492,240,1070,5,0,81
QLD,2020-05-07,0,0,2804,134296,240,1070,5,0,82
QLD,2020-05-08,0,0,2843,137139,240,1070,5,0,83
QLD,2020-05-09,0,0,2674,139813,240,1070,5,0,84
QLD,2020-05-10,0,0,2588,142401,240,1070,5,0,85
QLD,2020-05-11,0,0,2515,144916,240,1070,5,0,86
QLD,2020-05-12,0,0,2418,147334,240,1070,5,0,87
QLD,2020-05-13,0,1,2078,149412,240,1071,5,0,88
QLD,2020-05-14,0,2,1770,151182,240,1073,5,0,89
QLD,2020-05-15,0,0,1516,152698,240,1073,5,0,90
